Date,Time,Software,Status,Feature,User Machine,Licenses
2023-04-28,19:03:52,ABAQUSLM,DENIED,abaqus,askmanson@node353.igcar.gov.in ,25
2023-04-28,19:03:52,ABAQUSLM,DENIED,explicit,askmanson@node353.igcar.gov.in ,25
2023-04-28,19:19:22,ABAQUSLM,DENIED,abaqus,askmanson@node353.igcar.gov.in ,25
2023-04-28,19:19:22,ABAQUSLM,DENIED,explicit,askmanson@node353.igcar.gov.in ,25
2023-04-28,19:23:41,ABAQUSLM,IN,standard,kulbir@node350.igcar.gov.in ,30
2023-04-28,19:23:41,ABAQUSLM,IN,abaqus,kulbir@node350.igcar.gov.in ,30
2023-04-28,19:23:41,ABAQUSLM,OUT,abaqus,askmanson@node353.igcar.gov.in ,25
2023-04-28,19:23:41,ABAQUSLM,IN,parallel,kulbir@node350.igcar.gov.in ,72
2023-04-28,19:23:52,ABAQUSLM,OUT,parallel,askmanson@node353.igcar.gov.in ,48
2023-04-28,20:03:25,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,4
2023-04-28,20:03:25,ABAQUSLM,OUT,cae,prince@GWS-9 ,4
2023-04-28,21:10:55,ABAQUSLM,IN,standard,prince@GWS-9 ,8
2023-04-28,21:10:55,ABAQUSLM,IN,abaqus,prince@GWS-9 ,8
2023-04-28,21:10:55,ABAQUSLM,IN,parallel,prince@GWS-9 ,4
2023-04-28,21:11:39,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,8
2023-04-28,21:11:39,ABAQUSLM,OUT,standard,prince@GWS-9 ,8
2023-04-28,21:11:39,ABAQUSLM,OUT,parallel,prince@GWS-9 ,4
2023-04-28,21:18:20,ABAQUSLM,IN,cae,prince@GWS-9 ,4
2023-04-28,21:18:20,ABAQUSLM,IN,abaqus,prince@GWS-9 ,4
2023-04-29,19:17:09,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,4
2023-04-29,19:17:09,ABAQUSLM,OUT,cae,prince@GWS-9 ,4
2023-04-29,20:42:11,ABAQUSLM,IN,cae,prince@GWS-9 ,4
2023-04-29,20:42:11,ABAQUSLM,IN,abaqus,prince@GWS-9 ,4
2023-04-30,21:21:58,ABAQUSLM,IN,standard,prince@GWS-9 ,8
2023-04-30,21:21:58,ABAQUSLM,IN,abaqus,prince@GWS-9 ,8
2023-04-30,21:21:58,ABAQUSLM,IN,parallel,prince@GWS-9 ,4
2023-04-30,21:24:44,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,4
2023-04-30,21:24:44,ABAQUSLM,OUT,cae,prince@GWS-9 ,4
2023-04-30,21:27:57,ABAQUSLM,IN,cae,prince@GWS-9 ,4
2023-04-30,21:27:57,ABAQUSLM,IN,abaqus,prince@GWS-9 ,4
2023-05-01,12:13:19,ABAQUSLM,IN,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-01,12:13:19,ABAQUSLM,IN,parallel,kulbir@node355.igcar.gov.in ,72
2023-05-01,12:13:19,ABAQUSLM,IN,standard,kulbir@node355.igcar.gov.in ,30
2023-05-01,12:14:37,ABAQUSLM,OUT,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-01,12:14:37,ABAQUSLM,OUT,standard,kulbir@node355.igcar.gov.in ,30
2023-05-01,12:14:38,ABAQUSLM,OUT,parallel,kulbir@node355.igcar.gov.in ,72
2023-05-01,12:29:38,ABAQUSLM,IN,standard,kulbir@node355.igcar.gov.in ,30
2023-05-01,12:29:38,ABAQUSLM,IN,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-01,12:29:38,ABAQUSLM,IN,parallel,kulbir@node355.igcar.gov.in ,72
2023-05-01,12:29:41,ABAQUSLM,OUT,abaqus,kulbir@node348.igcar.gov.in ,34
2023-05-01,12:29:41,ABAQUSLM,OUT,standard,kulbir@node348.igcar.gov.in ,34
2023-05-01,12:29:41,ABAQUSLM,OUT,parallel,kulbir@node348.igcar.gov.in ,96
2023-05-01,15:10:52,ABAQUSLM,DENIED,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-01,15:10:52,ABAQUSLM,DENIED,standard,kulbir@node355.igcar.gov.in ,30
2023-05-01,15:10:52,ABAQUSLM,QUEUED,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-01,15:10:52,ABAQUSLM,OUT,standard,kulbir@node355.igcar.gov.in ,30
2023-05-01,15:12:09,ABAQUSLM,IN,explicit,askmanson@node353.igcar.gov.in ,25
2023-05-01,15:12:09,ABAQUSLM,IN,abaqus,askmanson@node353.igcar.gov.in ,25
2023-05-01,15:12:09,ABAQUSLM,OUT,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-01,15:12:09,ABAQUSLM,IN,parallel,askmanson@node353.igcar.gov.in ,48
2023-05-01,15:12:22,ABAQUSLM,OUT,parallel,kulbir@node355.igcar.gov.in ,72
2023-05-01,17:19:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:19:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:19:57,ABAQUSLM,QUEUED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:19:57,ABAQUSLM,OUT,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:34:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:34:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:50:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,17:50:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:05:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:05:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:21:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:21:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:36:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:36:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:52:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,18:52:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:07:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:07:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:23:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:23:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:38:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:38:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,19:54:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
