TIME,SOFTWARE,STATUS,FEATURE,USER_MACHINE,LICENSES
12:49:46,(ABAQUSLM),OUT:,abaqus,askmanson@node348.igcar.gov.in,(25
12:49:46,(ABAQUSLM),OUT:,explicit,askmanson@node348.igcar.gov.in,(25
12:49:46,(ABAQUSLM),OUT:,parallel,askmanson@node348.igcar.gov.in,(48
12:49:51,(ABAQUSLM),OUT:,abaqus,prince@GWS-9,(8
12:49:51,(ABAQUSLM),OUT:,standard,prince@GWS-9,(8
12:49:52,(ABAQUSLM),OUT:,parallel,prince@GWS-9,(4
12:51:42,(ABAQUSLM),OUT:,abaqus,kulbir@node352.igcar.gov.in,(25
12:51:42,(ABAQUSLM),OUT:,standard,kulbir@node352.igcar.gov.in,(25
12:51:42,(ABAQUSLM),OUT:,parallel,kulbir@node352.igcar.gov.in,(48
13:38:20,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
13:38:20,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
13:38:20,(ABAQUSLM),QUEUED:,abaqus,kulbir@node350.igcar.gov.in,(25
13:38:20,(ABAQUSLM),OUT:,standard,kulbir@node350.igcar.gov.in,(25
13:53:50,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
13:53:50,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
14:09:20,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
14:09:20,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
14:24:50,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
14:24:50,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
14:40:20,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
14:40:20,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
14:55:50,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
14:55:50,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
15:08:27,(ABAQUSLM),IN:,standard,kulbir@node352.igcar.gov.in,(25
15:08:27,(ABAQUSLM),IN:,abaqus,kulbir@node352.igcar.gov.in,(25
15:08:27,(ABAQUSLM),OUT:,abaqus,kulbir@node350.igcar.gov.in,(25
15:08:27,(ABAQUSLM),IN:,parallel,kulbir@node352.igcar.gov.in,(48
15:08:50,(ABAQUSLM),OUT:,parallel,kulbir@node350.igcar.gov.in,(48
16:24:07,(ABAQUSLM),IN:,standard,kulbir@node350.igcar.gov.in,(25
16:24:07,(ABAQUSLM),IN:,abaqus,kulbir@node350.igcar.gov.in,(25
16:24:07,(ABAQUSLM),IN:,parallel,kulbir@node350.igcar.gov.in,(48
16:24:19,(ABAQUSLM),OUT:,abaqus,kulbir@node350.igcar.gov.in,(30
16:24:19,(ABAQUSLM),OUT:,standard,kulbir@node350.igcar.gov.in,(30
16:24:19,(ABAQUSLM),OUT:,parallel,kulbir@node350.igcar.gov.in,(72
16:36:06,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:06,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:10,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:10,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:11,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:11,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:13,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:36:13,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
16:59:51,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
16:59:51,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
16:59:51,(ABAQUSLM),QUEUED:,abaqus,askmanson@node353.igcar.gov.in,(25
16:59:51,(ABAQUSLM),OUT:,explicit,askmanson@node353.igcar.gov.in,(25
17:15:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
17:15:22,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
17:30:52,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
17:30:52,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
17:46:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
