0,TIME,SOFTWARE,STATUS,FEATURE,USER_MACHINE,LICENSES
1,12:49:46,(ABAQUSLM),OUT:,abaqus,askmanson@node348.igcar.gov.in,(25
2,12:49:46,(ABAQUSLM),OUT:,explicit,askmanson@node348.igcar.gov.in,(25
3,12:49:46,(ABAQUSLM),OUT:,parallel,askmanson@node348.igcar.gov.in,(48
4,12:49:51,(ABAQUSLM),OUT:,abaqus,prince@GWS-9,(8
5,12:49:51,(ABAQUSLM),OUT:,standard,prince@GWS-9,(8
6,12:49:52,(ABAQUSLM),OUT:,parallel,prince@GWS-9,(4
7,12:51:42,(ABAQUSLM),OUT:,abaqus,kulbir@node352.igcar.gov.in,(25
8,12:51:42,(ABAQUSLM),OUT:,standard,kulbir@node352.igcar.gov.in,(25
9,12:51:42,(ABAQUSLM),OUT:,parallel,kulbir@node352.igcar.gov.in,(48
10,13:38:20,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
11,13:38:20,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
12,13:38:20,(ABAQUSLM),QUEUED:,abaqus,kulbir@node350.igcar.gov.in,(25
13,13:38:20,(ABAQUSLM),OUT:,standard,kulbir@node350.igcar.gov.in,(25
14,13:53:50,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
15,13:53:50,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
16,14:09:20,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
17,14:09:20,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
18,14:24:50,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
19,14:24:50,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
20,14:40:20,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
21,14:40:20,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
22,14:55:50,(ABAQUSLM),DENIED:,abaqus,kulbir@node350.igcar.gov.in,(25
23,14:55:50,(ABAQUSLM),DENIED:,standard,kulbir@node350.igcar.gov.in,(25
24,15:08:27,(ABAQUSLM),IN:,standard,kulbir@node352.igcar.gov.in,(25
25,15:08:27,(ABAQUSLM),IN:,abaqus,kulbir@node352.igcar.gov.in,(25
26,15:08:27,(ABAQUSLM),OUT:,abaqus,kulbir@node350.igcar.gov.in,(25
27,15:08:27,(ABAQUSLM),IN:,parallel,kulbir@node352.igcar.gov.in,(48
28,15:08:50,(ABAQUSLM),OUT:,parallel,kulbir@node350.igcar.gov.in,(48
29,16:24:07,(ABAQUSLM),IN:,standard,kulbir@node350.igcar.gov.in,(25
30,16:24:07,(ABAQUSLM),IN:,abaqus,kulbir@node350.igcar.gov.in,(25
31,16:24:07,(ABAQUSLM),IN:,parallel,kulbir@node350.igcar.gov.in,(48
32,16:24:19,(ABAQUSLM),OUT:,abaqus,kulbir@node350.igcar.gov.in,(30
33,16:24:19,(ABAQUSLM),OUT:,standard,kulbir@node350.igcar.gov.in,(30
34,16:24:19,(ABAQUSLM),OUT:,parallel,kulbir@node350.igcar.gov.in,(72
35,16:36:06,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
36,16:36:06,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
37,16:36:10,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
38,16:36:10,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
39,16:36:11,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
40,16:36:11,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
41,16:36:13,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
42,16:36:13,(ABAQUSLM),DENIED:,abaqus,prince@GWS-9,(4
43,16:59:51,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
44,16:59:51,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
45,16:59:51,(ABAQUSLM),QUEUED:,abaqus,askmanson@node353.igcar.gov.in,(25
46,16:59:51,(ABAQUSLM),OUT:,explicit,askmanson@node353.igcar.gov.in,(25
47,17:15:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
