Date,Time,Software,Feature,User Machine,Licenses
2023-04-28,19:03:52,abaqus,askmanson@node353.igcar.gov.in,Unknown,"-24,332"
2023-04-28,19:03:52,explicit,askmanson@node353.igcar.gov.in,Unknown,"-24,332"
2023-04-28,19:19:22,abaqus,askmanson@node353.igcar.gov.in,Unknown,"-24,332"
2023-04-28,19:19:22,explicit,askmanson@node353.igcar.gov.in,Unknown,"-24,332"
2023-04-28,19:23:41,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-04-28,19:23:41,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-04-28,19:23:41,abaqus,askmanson@node353.igcar.gov.in,Unknown,licenses
2023-04-28,19:23:41,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-04-28,19:23:52,parallel,askmanson@node353.igcar.gov.in,Unknown,licenses
2023-04-28,20:03:25,abaqus,prince@GWS-9,Unknown,licenses
2023-04-28,20:03:25,cae,prince@GWS-9,Unknown,licenses
2023-04-28,21:10:55,standard,prince@GWS-9,Unknown,licenses
2023-04-28,21:10:55,abaqus,prince@GWS-9,Unknown,licenses
2023-04-28,21:10:55,parallel,prince@GWS-9,Unknown,licenses
2023-04-28,21:11:39,abaqus,prince@GWS-9,Unknown,licenses
2023-04-28,21:11:39,standard,prince@GWS-9,Unknown,licenses
2023-04-28,21:11:39,parallel,prince@GWS-9,Unknown,licenses
2023-04-28,21:18:20,cae,prince@GWS-9,Unknown,licenses
2023-04-28,21:18:20,abaqus,prince@GWS-9,Unknown,licenses
2023-04-29,19:17:09,abaqus,prince@GWS-9,Unknown,licenses
2023-04-29,19:17:09,cae,prince@GWS-9,Unknown,licenses
2023-04-29,20:42:11,cae,prince@GWS-9,Unknown,licenses
2023-04-29,20:42:11,abaqus,prince@GWS-9,Unknown,licenses
2023-04-30,21:21:58,standard,prince@GWS-9,Unknown,licenses
2023-04-30,21:21:58,abaqus,prince@GWS-9,Unknown,licenses
2023-04-30,21:21:58,parallel,prince@GWS-9,Unknown,licenses
2023-04-30,21:24:44,abaqus,prince@GWS-9,Unknown,licenses
2023-04-30,21:24:44,cae,prince@GWS-9,Unknown,licenses
2023-04-30,21:27:57,cae,prince@GWS-9,Unknown,licenses
2023-04-30,21:27:57,abaqus,prince@GWS-9,Unknown,licenses
2023-04-30,12:13:19,abaqus,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:13:19,parallel,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:13:19,standard,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:14:37,abaqus,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:14:37,standard,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:14:38,parallel,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:29:38,standard,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:29:38,abaqus,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:29:38,parallel,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-04-30,12:29:41,abaqus,kulbir@node348.igcar.gov.in,Unknown,licenses
2023-04-30,12:29:41,standard,kulbir@node348.igcar.gov.in,Unknown,licenses
2023-04-30,12:29:41,parallel,kulbir@node348.igcar.gov.in,Unknown,licenses
2023-05-01,15:10:52,abaqus,kulbir@node355.igcar.gov.in,Unknown,"-4,342"
2023-05-01,15:10:52,standard,kulbir@node355.igcar.gov.in,Unknown,"-4,342"
2023-05-01,15:10:52,abaqus,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,15:10:52,standard,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,15:12:09,explicit,askmanson@node353.igcar.gov.in,Unknown,licenses
2023-05-01,15:12:09,abaqus,askmanson@node353.igcar.gov.in,Unknown,licenses
2023-05-01,15:12:09,abaqus,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,15:12:09,parallel,askmanson@node353.igcar.gov.in,Unknown,licenses
2023-05-01,15:12:22,parallel,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,17:19:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-4,342"
2023-05-01,17:19:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-4,342"
2023-05-01,17:19:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,licenses
2023-05-01,17:19:57,explicit,askmanson@node352.igcar.gov.in,Unknown,licenses
2023-05-01,17:34:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,17:34:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,17:50:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,17:50:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:05:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:05:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:21:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:21:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:36:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:36:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:52:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,18:52:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
